id,context,question,answer_text,start_position
,"뼛속이 비어 있다라는 뜻을 가진 코엘로피시스는 트라이아스기 후기에 현재의 미국 남서부 지방에 서식했던 수각류 공룡이다. 속이 빈 척추를 보고 비어있다는 뜻을 가진 koilos와 형태를 뜻하는 physis가 합쳐져 명명되었다. 앞발가락은 4개이며, 그중 하나는 살 속에 묻혀 거의 보이지 않는다. 뒷발가락은 3개이다. 크기는 2.5~3미터이며 식성은 육식성이다.",코엘로피시스의 의미는 무엇인가?,뼛속이 비어 있다,0
,"뼛속이 비어 있다라는 뜻을 가진 코엘로피시스는 트라이아스기 후기에 현재의 미국 남서부 지방에 서식했던 수각류 공룡이다. 속이 빈 척추를 보고 비어있다는 뜻을 가진 koilos와 형태를 뜻하는 physis가 합쳐져 명명되었다. 앞발가락은 4개이며, 그중 하나는 살 속에 묻혀 거의 보이지 않는다. 뒷발가락은 3개이다. 크기는 2.5~3미터이며 식성은 육식성이다.",코엘로피시스의 식성은 무엇인가?,육식성,195
,"뼛속이 비어 있다라는 뜻을 가진 코엘로피시스는 트라이아스기 후기에 현재의 미국 남서부 지방에 서식했던 수각류 공룡이다. 속이 빈 척추를 보고 비어있다는 뜻을 가진 koilos와 형태를 뜻하는 physis가 합쳐져 명명되었다. 앞발가락은 4개이며, 그중 하나는 살 속에 묻혀 거의 보이지 않는다. 뒷발가락은 3개이다. 크기는 2.5~3미터이며 식성은 육식성이다.",코엘로피시스의 뒷발가락은 몇 개인가?,3개,171
,"코엘루루스는 중생대 쥐라기 후기 오늘날의 아메리카 대륙에 살았던 육식공룡의 일종이다. 학명은 속이 빈 꼬리라는 의미를 가진다. 전체 몸 길이는 약 1.5~2m 정도이다. 소형 수각류로서는 초기에 발견된 종이다. 발은 비교적 긴 편이고, 짧지만 날카로운 치아를 가지고 있다. 작은 동물을 주로 잡아 먹었을 것으로 추정되지만, 때로는 대형 육식공룡이 먹다 남은 잔여물을 먹었을 것으로 보기도 한다.",코엘루루스는 언제 살았던 공룡인가?,중생대 쥐라기 후기,7
,"코엘루루스는 중생대 쥐라기 후기 오늘날의 아메리카 대륙에 살았던 육식공룡의 일종이다. 학명은 속이 빈 꼬리라는 의미를 가진다. 전체 몸 길이는 약 1.5~2m 정도이다. 소형 수각류로서는 초기에 발견된 종이다. 발은 비교적 긴 편이고, 짧지만 날카로운 치아를 가지고 있다. 작은 동물을 주로 잡아 먹었을 것으로 추정되지만, 때로는 대형 육식공룡이 먹다 남은 잔여물을 먹었을 것으로 보기도 한다.",코엘루루스의 발은 비교적 어떠한 편인가?,비교적 긴 편,121
,"코엘루루스는 중생대 쥐라기 후기 오늘날의 아메리카 대륙에 살았던 육식공룡의 일종이다. 학명은 속이 빈 꼬리라는 의미를 가진다. 전체 몸 길이는 약 1.5~2m 정도이다. 소형 수각류로서는 초기에 발견된 종이다. 발은 비교적 긴 편이고, 짧지만 날카로운 치아를 가지고 있다. 작은 동물을 주로 잡아 먹었을 것으로 추정되지만, 때로는 대형 육식공룡이 먹다 남은 잔여물을 먹었을 것으로 보기도 한다.",코엘루루스의 전체 몸 길이는 어느 정도인가?,1.5~2m,82
,"코엘루루스는 중생대 쥐라기 후기 오늘날의 아메리카 대륙에 살았던 육식공룡의 일종이다. 학명은 속이 빈 꼬리라는 의미를 가진다. 전체 몸 길이는 약 1.5~2m 정도이다. 소형 수각류로서는 초기에 발견된 종이다. 발은 비교적 긴 편이고, 짧지만 날카로운 치아를 가지고 있다. 작은 동물을 주로 잡아 먹었을 것으로 추정되지만, 때로는 대형 육식공룡이 먹다 남은 잔여물을 먹었을 것으로 보기도 한다.",코엘루루스의 학명은 어떤 의미를 가지는가?,속이 빈 꼬리,52
,"꼬리 깃털이라는 뜻의 코우딥테릭스는 중국 요동성에서 발견된 깃털 공룡으로, 깃털은 있으나 날지 못했다. 이러한 깃털은 몸의 체온을 조절하거나 암컷을 유혹하기 위해 진화한 것으로 보인다. 생김새는 거의 새와 비슷하다. 주둥이 끝에는 이빨이 발달했으며, 날개는 물론 꼬리도 깃털로 덮여 있다. 뒷다리가 발달해 힘차게 달릴 수 있었다. 날개는 아마도 힘껏 뛰어다니며 높은 곳에 있는 곤충 등을 잡아먹기 위해 뛰어오를 때 사용했을 것이다. 몸매가 날렵하여 매우 빠르게 움직였던 것으로 보인다. 생존시대는 백악기 전기이며, 크기는 60~70cm이다.",코우딥테릭스의 뜻은 무엇인가?,꼬리 깃털,0
,"꼬리 깃털이라는 뜻의 코우딥테릭스는 중국 요동성에서 발견된 깃털 공룡으로, 깃털은 있으나 날지 못했다. 이러한 깃털은 몸의 체온을 조절하거나 암컷을 유혹하기 위해 진화한 것으로 보인다. 생김새는 거의 새와 비슷하다. 주둥이 끝에는 이빨이 발달했으며, 날개는 물론 꼬리도 깃털로 덮여 있다. 뒷다리가 발달해 힘차게 달릴 수 있었다. 날개는 아마도 힘껏 뛰어다니며 높은 곳에 있는 곤충 등을 잡아먹기 위해 뛰어오를 때 사용했을 것이다. 몸매가 날렵하여 매우 빠르게 움직였던 것으로 보인다. 생존시대는 백악기 전기이며, 크기는 60~70cm이다.",코우딥테릭스는 날 수 있었는가?,날지 못했다,50
,"꼬리 깃털이라는 뜻의 코우딥테릭스는 중국 요동성에서 발견된 깃털 공룡으로, 깃털은 있으나 날지 못했다. 이러한 깃털은 몸의 체온을 조절하거나 암컷을 유혹하기 위해 진화한 것으로 보인다. 생김새는 거의 새와 비슷하다. 주둥이 끝에는 이빨이 발달했으며, 날개는 물론 꼬리도 깃털로 덮여 있다. 뒷다리가 발달해 힘차게 달릴 수 있었다. 날개는 아마도 힘껏 뛰어다니며 높은 곳에 있는 곤충 등을 잡아먹기 위해 뛰어오를 때 사용했을 것이다. 몸매가 날렵하여 매우 빠르게 움직였던 것으로 보인다. 생존시대는 백악기 전기이며, 크기는 60~70cm이다.",코우딥테릭스의 생김새는 무엇과 비슷한가?,새,112
